Stop Code,Shelter Quantity,Area Light Score,Site Shade Score,Sidewalk Condition Score,Landing Pad Score,ADA Score,Crosswalk Score
6031,0.0,1.0,,0.0,,,
6032,0.0,2.0,,0.0,,,2.0
6036,1.0,3.0,,2.0,1.0,2.0,1.0
6039,0.0,2.0,1.0,,,,0.0
6040,,,,,,,
6045,0.0,1.0,,2.0,,,2.0
6048,0.0,2.0,,,,,
6049,0.0,3.0,,2.0,0.0,,1.0
6052,1.0,1.0,2.0,0.0,1.0,2.0,1.0
6053,2.0,1.0,,2.0,2.0,3.0,2.0
6054,0.0,2.0,,,,,
6057,,,,,,,
6058,,,,,,,
6059,0.0,1.0,,,,,
6061,0.0,2.0,,,,,
6064,,,,,,,
6067,0.0,2.0,1.0,1.0,,,0.0
6068,2.0,3.0,1.0,2.0,0.0,3.0,1.0
6069,,,,,,,
6075,1.0,2.0,,2.0,0.0,,1.0
6076,0.0,1.0,,1.0,,,
6077,1.0,3.0,,0.0,0.0,,1.0
6079,0.0,2.0,,2.0,,,1.0
6086,0.0,2.0,2.0,0.0,,,0.0
6092,,,,,,,
6095,1.0,1.0,2.0,2.0,0.0,,0.0
6097,0.0,3.0,,2.0,1.0,,
6098,0.0,2.0,,,,,
6104,1.0,2.0,,2.0,0.0,,1.0
6109,1.0,1.0,2.0,2.0,,,
6110,1.0,1.0,,2.0,,,1.0
6116,0.0,1.0,1.0,,,,0.0
6125,0.0,1.0,,0.0,,,2.0
6126,0.0,1.0,2.0,,,,
6128,0.0,2.0,2.0,,,,
6129,0.0,1.0,2.0,,,,
6130,0.0,2.0,,1.0,2.0,,1.0
6132,0.0,1.0,2.0,1.0,0.0,,
6133,0.0,3.0,,1.0,0.0,,1.0
6136,0.0,3.0,,,,,
6137,0.0,1.0,,,,,
6142,0.0,1.0,2.0,1.0,0.0,,1.0
6146,1.0,2.0,,1.0,,,1.0
6147,0.0,2.0,1.0,1.0,0.0,,1.0
6153,0.0,2.0,,2.0,,,
6154,0.0,2.0,,1.0,1.0,,1.0
6155,0.0,3.0,,2.0,2.0,3.0,1.0
6156,0.0,3.0,,2.0,,,
6157,0.0,,,,,,
6158,0.0,2.0,,0.0,,,2.0
6159,0.0,2.0,,0.0,,,2.0
6160,0.0,3.0,,0.0,,,
6161,0.0,2.0,,0.0,,,
6162,0.0,1.0,1.0,2.0,1.0,,2.0
6163,0.0,2.0,1.0,2.0,,,1.0
6164,0.0,3.0,2.0,2.0,0.0,,2.0
6165,0.0,2.0,,2.0,,,1.0
6167,0.0,2.0,,,1.0,2.0,3.0
6172,0.0,2.0,,,,,
6177,1.0,3.0,,1.0,2.0,3.0,1.0
6182,0.0,2.0,,1.0,0.0,3.0,2.0
6193,,,,,,,
6196,0.0,2.0,1.0,1.0,,,
6197,1.0,1.0,2.0,1.0,0.0,,0.0
6198,0.0,3.0,1.0,2.0,,,1.0
6201,0.0,1.0,1.0,2.0,,,
6202,0.0,2.0,,,,,
6203,1.0,1.0,,2.0,1.0,,1.0
6204,1.0,3.0,1.0,2.0,1.0,2.0,0.0
6206,0.0,2.0,1.0,1.0,,,
6207,0.0,3.0,1.0,2.0,,,
6210,0.0,2.0,1.0,0.0,,,2.0
6211,1.0,2.0,2.0,2.0,2.0,3.0,1.0
6212,0.0,1.0,,2.0,,,2.0
6221,,,,,,,
6224,,,,,,,
6225,,,,,,,
6226,,,,,,,
6241,1.0,1.0,,2.0,0.0,3.0,2.0
6242,0.0,2.0,,2.0,0.0,3.0,2.0
6243,0.0,1.0,,1.0,,,1.0
6244,0.0,2.0,,2.0,,,1.0
6245,0.0,3.0,2.0,1.0,,,1.0
6246,0.0,1.0,,1.0,,,1.0
6247,0.0,2.0,,2.0,0.0,3.0,2.0
6248,0.0,2.0,,0.0,,,2.0
6250,,,,,,,
6251,1.0,2.0,,2.0,0.0,,2.0
6252,1.0,3.0,2.0,2.0,2.0,3.0,2.0
6256,1.0,2.0,,2.0,0.0,,1.0
6257,2.0,3.0,,1.0,2.0,3.0,1.0
6258,0.0,1.0,,0.0,0.0,,1.0
6261,0.0,1.0,,1.0,,,
6263,0.0,2.0,,1.0,,,1.0
6264,1.0,1.0,,,0.0,,
6265,0.0,3.0,,,,,
6266,0.0,2.0,,0.0,,,
6267,1.0,1.0,,2.0,1.0,2.0,1.0
6268,,,,,,,
6269,0.0,1.0,,,,,
6270,0.0,,1.0,,,,
6272,1.0,1.0,,2.0,,,1.0
6273,0.0,2.0,1.0,2.0,,,
6274,0.0,2.0,,,,,1.0
6275,0.0,,1.0,1.0,1.0,,
6276,0.0,,1.0,2.0,,,
6277,1.0,1.0,,1.0,1.0,2.0,
6278,0.0,3.0,1.0,1.0,,,0.0
6279,0.0,3.0,2.0,2.0,,,
6281,1.0,1.0,,2.0,2.0,3.0,1.0
6283,0.0,3.0,1.0,0.0,,,1.0
6286,0.0,1.0,,2.0,,,2.0
6287,0.0,1.0,1.0,,,,
6289,0.0,1.0,,,,,2.0
6290,1.0,1.0,,1.0,,,2.0
6291,2.0,2.0,,2.0,0.0,,2.0
6293,1.0,1.0,,0.0,,,2.0
6294,0.0,1.0,,,,,2.0
6297,0.0,2.0,,2.0,2.0,3.0,2.0
6299,0.0,1.0,,0.0,,,2.0
6303,0.0,2.0,,1.0,,,
6306,0.0,3.0,2.0,2.0,,1.0,2.0
6312,,,,,,,
6313,0.0,,,0.0,,,
6314,0.0,2.0,,,,,
6315,0.0,2.0,2.0,1.0,,,1.0
