Stop Code,Stop Name,Latitude,Longitude,Status,Shelter Quantity,Area_Light,Trash Can,Site_Shade,Real Time Sign,Sidewalk Condition,ADA condition,Landing Pad,Crosswalk,Area Light Score,Site Shade Score,Sidewalk Condition Score,Landing Pad Score,Crosswalk Score,ADA Score
5540,Chapel Hill Rd at Pickett Rd (SB),35.97678,-78.93625,Active,0.0,Fair,Concrete,,No,Poor,No_SidewalkAbuts,Other,Good,2.0,,0.0,0.0,2.0,
5543,Guess Rd at Lombard Ave (NB),36.0361,-78.92928,Active,0.0,Fair,,,No,,,,Poor,2.0,,,,0.0,
5544,Fayetteville St at Homeland Ave (SB),35.96207,-78.9089,Active,0.0,Fair,Concrete,,No,Poor,No_SidewalkWithStrip,,Poor,2.0,,0.0,,0.0,
5547,Sima Ave at Bacon St,35.97767,-78.88435,Active,0.0,Poor,,,No,Good,No_SidewalkAbuts,Other,,1.0,,2.0,0.0,,
5549,Fayetteville St at Linwood Ave (Lincoln Health Center),35.9812078,-78.8992314,Active,1.0,Good,Concrete,,No,Good,No_SidewalkAbuts,Other,Fair,3.0,,2.0,0.0,1.0,
5550,Hardee St at Delano St (Hardee Terrace),35.997496,-78.864402,Active,0.0,Good,,Trees_Fair,No,,,,,3.0,1.0,,,,
5552,NC 55 at Meridian Pkwy (SB),35.912198,-78.892648,Active,0.0,Fair,,Trees_Fair,No,Fair,No_SidewalkWithStrip,,,2.0,1.0,1.0,,,
5553,Milton Rd at Eno Valley Elementary (NB),36.08645,-78.912,Active,0.0,Fair,,,No,,,,,2.0,,,,,
5557,Morreene Rd at Andrews Rd,36.013029,-78.95629,Active,0.0,Poor,,,No,,,,,1.0,,,,,
5559,Willard St at Blackwell St (South Parking Deck),35.991862,-78.906599,Active,0.0,Fair,,Trees_Good,No,Good,No_SidewalkWithStrip,,Good,2.0,2.0,2.0,,2.0,
5561,Leon St at N Buchanan Blvd (EB),36.025475,-78.910534,Active,1.0,Fair,Metal,Trees_Good,No,Fair,Yes_Two_Doors,Yes_Two_Doors,Good,2.0,2.0,1.0,2.0,2.0,3.0
5563,Duke St at Fairfield St,36.047832,-78.905718,Active,0.0,Good,,,No,,,,Fair,3.0,,,,1.0,
5564,Morreene Rd at Erwin Rd,36.00382,-78.95275,Active,0.0,Poor,,,No,Good,No_SidewalkAbuts,Other,Fair,1.0,,2.0,0.0,1.0,
5565,Fayetteville St at Fayetteville Street Elementary School,35.964905,-78.906124,Active,0.0,Fair,,,No,Fair,No_SidewalkWithStrip,,Good,2.0,,1.0,,2.0,
5567,Fayetteville Rd at Juliette Dr (SB),35.931954,-78.916697,Active,0.0,Fair,,,No,Good,No_SidewalkWithStrip,,Fair,2.0,,2.0,,1.0,
5568,Meriwether Dr at Old Oxford Rd (SB),36.03602,-78.89013,Active,1.0,Good,Concrete,Trees_Fair,No,Fair,Yes_Two_Doors,Yes_Two_Doors,,3.0,1.0,1.0,2.0,,3.0
5569,Hillsborough Rd at LaSalle St (Durham Festival Center),36.019752,-78.947568,Active,1.0,Fair,Concrete,Trees_Good,No,Good,No_SingleDoor,Yes_Single_Door,Fair,2.0,2.0,2.0,1.0,1.0,
5570,Garrett Rd at Durham-Chapel Hill Blvd (NB),35.958731,-78.974587,Active,1.0,Poor,Concrete,Trees_Fair,No,Good,No_SingleDoor,Yes_Single_Door,Good,1.0,1.0,2.0,1.0,2.0,
5572,Cornwallis Rd at Bainbridge Dr (SB),35.939637,-78.896774,Active,0.0,Poor,,Trees_Good,No,,,,,1.0,2.0,,,,
5573,Holloway St at Elizabeth St (EB),35.994511,-78.890385,Active,0.0,Fair,,Trees_Fair,No,Poor,No_SidewalkWithStrip,,Fair,2.0,1.0,0.0,,1.0,
5574,Durham-Chapel Hill Blvd at Hope Valley Rd (EB),35.97392,-78.93305,Active,0.0,Fair,,,No,,,,,2.0,,,,,
5575,Roxboro St at Charles St,35.9664811,-78.9168035,Active,,,,,,,,,,,,,,,
5578,Fayetteville St at Simmons St,35.9819872,-78.8991683,Active,0.0,Fair,Metal,,No,Fair,No_SidewalkWithStrip,,Fair,2.0,,1.0,,1.0,
5579,North Pointe Dr at North Pointe Shopping Center (WB),36.028632,-78.920304,Active,1.0,Fair,Concrete,,No,Good,No_SidewalkWithStrip,,,2.0,,2.0,,,
5580,Fayetteville St at Burlington Ave (SB),35.96887,-78.90273,Active,,,,,,,,,,,,,,,
5581,E Club Blvd at Lindbergh St,36.022849,-78.878892,Active,0.0,Fair,,Trees_Good,No,,,,,2.0,2.0,,,,
5582,Angier Ave at East End Ave (WB),35.97445,-78.86823,Active,0.0,Fair,,,No,Poor,No_SidewalkAbuts,Other,,2.0,,0.0,0.0,,
5584,Hardee St at Fiske St,35.99881,-78.86459,Active,0.0,Poor,Concrete,Trees_Fair,No,,No_Other,,,1.0,1.0,,,,
5590,Hillandale Rd at Croasdaile Crossing,36.031655,-78.935952,Active,1.0,Good,Concrete,,No,Good,No_SidewalkAbuts,Other,Fair,3.0,,2.0,0.0,1.0,
5593,Lednum St at Murray Ave,36.027209,-78.909612,Active,0.0,Fair,,Trees_Fair,No,,,,,2.0,1.0,,,,
5594,Hillsborough Rd at Trent Dr (WB),36.01206612,-78.93040821,Active,0.0,Poor,,,No,Poor,No_SidewalkWithStrip,,Good,1.0,,0.0,,2.0,
5595,Duke St at Markham Ave,36.009649,-78.905438,Active,0.0,Poor,,,No,Fair,,,Good,1.0,,1.0,,2.0,
5596,Foushee St at Avondale Dr (EB),36.016151,-78.887701,Active,0.0,Good,,,No,,,,Good,3.0,,,,2.0,
5598,Fayetteville Rd at Geneva Dr (SB),35.9205413,-78.9291726,Active,0.0,Good,,Trees_Fair,No,Good,No_SidewalkWithStrip,,Fair,3.0,1.0,2.0,,1.0,
5600,Carver St at Commons Blvd (WB),36.041499,-78.894746,Active,1.0,Fair,Concrete,Trees_Good,No,Fair,No_SidewalkAbuts,Other,Good,2.0,2.0,1.0,0.0,2.0,
5601,Cornwallis Rd at Industry Ln,35.94278,-78.89973,Active,0.0,Poor,,,No,,,,,1.0,,,,,
5603,Hardee St at Landon St (NB),36.00001,-78.86535,Active,,,,,,,,,,,,,,,
5604,Crest St at Zelko Ct,36.01276,-78.941013,Active,0.0,Good,,,No,,,,,3.0,,,,,
5612,Chapel Hill St at Gregson St (EB),35.996873,-78.911517,Active,0.0,,,,,,,,,,,,,,
5613,University Dr at Old Chapel Hill Rd (WB),35.967352,-78.947182,Active,0.0,Fair,,Trees_Fair,No,Good,No_SidewalkWithStrip,,Good,2.0,1.0,2.0,,2.0,
5616,Cornwallis Rd at Yorktown Ave (SB),35.936476,-78.893543,Active,0.0,Fair,Concrete,Trees_Fair,No,Poor,Yes_Single_Door,Yes_Single_Door,,2.0,1.0,0.0,1.0,,2.0
5618,Holloway St at Joyland Ave (EB),35.98938,-78.855086,Active,0.0,Poor,,Trees_Fair,No,,,,,1.0,1.0,,,,
5622,Glenbrook Dr at Club Blvd (NB),36.02425,-78.87708,Active,0.0,,,,,,,,,,,,,,
5626,New Castle Rd at FoxFire Apartments (SB),36.049943,-78.92318,Active,0.0,Fair,,,No,,,,,2.0,,,,,
5627,Holloway St at Spruce St,35.994405,-78.880198,Active,0.0,Fair,,,No,Fair,No_SidewalkWithStrip,,,2.0,,1.0,,,
